TimeStamp,POS_X,POS_Y,POS_Z,
0,10,10,10,0
0.5,11,11,11,888.7320508
1,12,12,12,887.4641016
1.5,13,13,13,886.1961524
2,14,14,14,884.9282032
2.5,15,15,15,883.660254
3,16,16,16,882.3923048
3.5,17,17,17,881.1243557
4,18,18,18,879.8564065
4.5,19,19,19,878.5884573
5,20,20,20,877.3205081
5.5,21,21,21,876.0525589
6,22,22,22,874.7846097
6.5,23,23,23,873.5166605
7,24,24,24,872.2487113
7.5,25,25,25,870.9807621
8,26,26,26,869.7128129
8.5,27,27,27,868.4448637
9,28,28,28,867.1769145
9.5,29,29,29,865.9089653
10,30,30,30,864.6410162
10.5,31,31,31,863.373067
11,32,32,32,862.1051178
11.5,33,33,33,860.8371686
12,34,34,34,859.5692194
12.5,35,35,35,858.3012702
13,36,36,36,857.033321
13.5,37,37,37,855.7653718
14,38,38,38,854.4974226
14.5,39,39,39,853.2294734
15,40,40,40,851.9615242
15.5,41,41,41,850.693575
16,42,42,42,849.4256258
16.5,43,43,43,848.1576766
17,44,44,44,846.8897275
17.5,45,45,45,845.6217783
18,46,46,46,844.3538291
18.5,47,47,47,843.0858799
19,48,48,48,841.8179307
19.5,49,49,49,840.5499815
20,50,50,50,839.2820323
20.5,51,51,50,838.6962459
21,52,52,50,838.1104594
21.5,53,53,50,837.524673
22,54,54,50,836.9388866
22.5,55,55,50,836.3531001
23,56,56,50,835.7673137
23.5,57,57,50,835.1815272
24,58,58,50,834.5957408
24.5,59,59,50,834.0099544
25,60,60,50,833.4241679
25.5,61,61,50,832.8383815
26,62,62,50,832.2525951
26.5,63,63,50,831.6668086
27,64,64,50,831.0810222
27.5,65,65,50,830.4952357
28,66,66,50,829.9094493
28.5,67,67,50,829.3236629
29,68,68,50,828.7378764
29.5,69,69,50,828.15209
30,70,70,50,827.5663036
30.5,71,71,50,826.9805171
31,72,72,50,826.3947307
31.5,73,73,50,825.8089442
32,74,74,50,825.2231578
32.5,75,75,50,824.6373714
33,76,76,50,824.0515849
33.5,77,77,50,823.4657985
34,78,78,50,822.880012
34.5,79,79,50,822.2942256
35,80,80,50,821.7084392
35.5,81,81,50,821.1226527
36,82,82,50,820.5368663
36.5,83,83,50,819.9510799
37,84,84,50,819.3652934
37.5,85,85,50,818.779507
38,86,86,50,818.1937205
38.5,87,87,50,817.6079341
39,88,88,50,817.0221477
39.5,89,89,50,816.4363612
40,90,90,50,815.8505748
40.5,91,91,50,815.2647884
41,92,92,50,814.6790019
41.5,93,93,50,814.0932155
42,94,94,50,813.507429
42.5,95,95,50,812.9216426
43,96,96,50,812.3358562
43.5,97,97,50,811.7500697
44,98,98,50,811.1642833
44.5,99,99,50,810.5784969
45,100,100,50,809.9927104
45.5,101,101,50,809.406924
46,102,102,50,808.8211375
46.5,103,103,50,808.2353511
47,104,104,50,807.6495647
47.5,105,105,50,807.0637782
48,106,106,50,806.4779918
48.5,107,107,50,805.8922054
49,108,108,50,805.3064189
49.5,109,109,50,804.7206325
50,110,110,50,804.134846
50.5,111,111,50,803.5490596
51,112,112,50,802.9632732
51.5,113,113,50,802.3774867
52,114,114,50,801.7917003
52.5,115,115,50,801.2059139
53,116,116,50,800.6201274
53.5,117,117,50,800.034341
54,118,118,50,799.4485545
54.5,119,119,50,798.8627681
55,120,120,50,798.2769817
55.5,121,121,50,797.6911952
56,121,122,50,797.6911952
56.5,121,123,50,797.6911952
57,121,124,50,797.6911952
57.5,121,125,50,797.6911952
58,121,126,50,797.6911952
58.5,121,127,50,797.6911952
59,121,128,50,797.6911952
59.5,121,129,50,797.6911952
60,121,130,50,797.6911952
60.5,121,131,50,797.6911952
61,122,132,50,797.1054088
61.5,123,133,50,796.5196224
62,124,134,50,795.9338359
62.5,125,135,50,795.3480495
63,126,136,50,794.762263
63.5,127,137,50,794.1764766
64,128,138,50,793.5906902
64.5,129,139,50,793.0049037
65,130,140,50,792.4191173
65.5,131,141,50,791.8333309
66,132,142,50,791.2475444
66.5,133,143,50,790.661758
67,134,144,50,790.0759715
67.5,135,145,50,789.4901851
68,136,146,50,788.9043987
68.5,137,147,50,788.3186122
69,138,148,50,787.7328258
69.5,139,149,50,787.1470394
70,140,150,50,786.5612529
70.5,141,151,50,785.9754665
71,142,152,50,785.38968
71.5,143,153,50,784.8038936
72,144,154,50,784.2181072
72.5,145,155,50,783.6323207
73,146,156,50,783.0465343
73.5,147,157,50,782.4607479
74,148,158,50,781.8749614
74.5,149,159,50,781.289175
75,150,160,50,780.7033885
75.5,151,161,50,780.1176021
76,152,162,50,779.5318157
76.5,153,163,50,778.9460292
77,154,164,50,778.3602428
77.5,155,165,50,777.7744564
78,156,166,50,777.1886699
78.5,157,167,50,776.6028835
79,158,168,50,776.017097
79.5,159,169,50,775.4313106
80,160,170,50,774.8455242
80.5,161,171,50,774.2597377
81,162,172,50,773.6739513
81.5,163,173,50,773.0881649
82,164,174,50,772.5023784
82.5,165,175,50,771.916592
83,166,176,50,771.3308055
83.5,167,177,50,770.7450191
84,168,178,50,770.1592327
84.5,169,179,50,769.5734462
85,170,180,50,768.9876598
85.5,171,181,50,768.4018733
86,172,182,50,767.8160869
86.5,173,183,50,767.2303005
87,174,184,50,766.644514
87.5,175,185,50,766.0587276
88,176,186,50,765.4729412
88.5,177,187,50,764.8871547
89,178,188,50,764.3013683
89.5,179,189,50,763.7155818
90,180,190,50,763.1297954
90.5,181,191,50,762.544009
91,182,192,50,761.9582225
91.5,183,193,50,761.3724361
92,184,194,50,760.7866497
92.5,185,195,50,760.2008632
93,186,196,50,759.6150768
93.5,187,197,50,759.0292903
94,188,198,50,758.4435039
94.5,189,199,50,757.8577175
95,190,200,50,757.271931
95.5,191,201,50,756.6861446
96,192,202,50,756.1003582
96.5,193,203,50,755.5145717
97,194,204,50,754.9287853
97.5,195,205,50,754.3429988
98,196,206,50,753.7572124
98.5,197,207,50,753.171426
99,198,208,50,752.5856395
99.5,199,209,50,751.9998531
100,199,210,50,751.9998531
100.5,199,211,50,751.9998531
101,199,212,50,751.9998531
101.5,199,213,50,751.9998531
102,199,214,50,751.9998531
102.5,199,215,50,751.9998531
103,199,216,50,751.9998531
103.5,199,217,50,751.9998531
104,198,209,50,752.5856395
104.5,199,208,50,752.5856395
105,198,210,50,752.5856395
105.5,198,211,50,752.5856395
106,198,212,50,752.5856395
106.5,198,213,50,752.5856395
107,198,214,50,752.5856395
107.5,198,215,50,752.5856395
108,198,216,50,752.5856395
108.5,198,217,50,752.5856395
109,197,208,50,753.171426
109.5,198,207,50,753.171426
110,197,209,50,753.171426
110.5,199,207,50,753.171426
111,197,210,50,753.171426
111.5,197,211,50,753.171426
112,197,212,50,753.171426
112.5,197,213,50,753.171426
113,197,214,50,753.171426
113.5,197,215,50,753.171426
