TimeStamp,POS_X,POS_Y,POS_Z
0,10,10,10
0.5,13,12,19
1,20,18,19
1.5,21,18,28
2,28,24,28
2.5,35,30,28
3,37,29,37
3.5,45,29,42
4,45,34,50
4.5,52,40,50
5,58,47,52
5.5,65,53,51
6,66,58,59
6.5,73,64,58
7,80,70,57
7.5,87,76,59
8,94,82,58
8.5,101,88,57
9,100,97,59
9.5,103,106,59
10,110,112,58
10.5,117,118,57
11,115,125,63
11.5,114,134,61
12,117,141,66
12.5,124,147,65
13,131,153,64
13.5,138,159,63
14,142,167,65
14.5,149,173,64
15,156,179,63
15.5,165,179,61
16,171,184,66
16.5,178,190,65
17,185,196,64
17.5,188,200,72
18,194,198,79
18.5,200,197,86
19,206,198,93
19.5,213,195,99
20,220,201,97
20.5,227,207,95
21,234,213,93
21.5,241,219,91
22,247,225,95
22.5,254,231,93
23,261,237,91
23.5,268,239,85
24,275,245,83
24.5,282,252,81
25,289,259,79
25.5,296,266,77
26,303,273,75
26.5,310,280,73
27,317,287,71
27.5,324,294,69
28,331,300,67
28.5,338,307,65
29,345,314,64
29.5,352,321,63
30,359,328,62
30.5,366,335,61
31,372,342,60
31.5,379,349,59
32,386,356,58
32.5,393,363,57
33,400,370,56
33.5,402,371,65
34,408,377,62
34.5,414,384,60
35,420,390,58
35.5,426,396,56
36,432,402,54
36.5,438,408,52
37,445,415,50
37.5,450,420,50
