Longitude(rad)1,Latitude(rad)1,Hight1,,Longitude(rad)2,Latitude(rad)2,Hight2
1966 ,684 ,9 ,,196.6,68.4,1.8
2192 ,4260 ,36 ,,219.2,426,7.2
3611 ,4388 ,36 ,,361.1,438.8,7.2
2542 ,1093 ,45 ,,254.2,109.3,9
1182 ,1592 ,27 ,,118.2,159.2,5.4
4566 ,1443 ,9 ,,456.6,144.3,1.8
2196 ,2481 ,18 ,,219.6,248.1,3.6
3964 ,3910 ,18 ,,396.4,391,3.6
2943 ,1493 ,27 ,,294.3,149.3,5.4
1767 ,2041 ,9 ,,176.7,204.1,1.8
2207 ,2705 ,27 ,,220.7,270.5,5.4
1789 ,3392 ,27 ,,178.9,339.2,5.4
1885 ,2478 ,45 ,,188.5,247.8,9
2013 ,2634 ,18 ,,201.3,263.4,3.6
1888 ,2929 ,9 ,,188.8,292.9,1.8
3492 ,408 ,27 ,,349.2,40.8,5.4
1799 ,2960 ,45 ,,179.9,296,9
1166 ,4573 ,27 ,,116.6,457.3,5.4
2917 ,4405 ,18 ,,291.7,440.5,3.6
2180 ,3462 ,45 ,,218,346.2,9
4240 ,657 ,45 ,,424,65.7,9
2860 ,1576 ,54 ,,286,157.6,10.8
3446 ,3066 ,9 ,,344.6,306.6,1.8
3250 ,2512 ,36 ,,325,251.2,7.2
1384 ,1770 ,63 ,,138.4,177,12.6
1664 ,2712 ,45 ,,166.4,271.2,9
2930 ,4446 ,36 ,,293,444.6,7.2
2310 ,1470 ,18 ,,231,147,3.6
2739 ,1342 ,54 ,,273.9,134.2,10.8
2874 ,3356 ,54 ,,287.4,335.6,10.8
1807 ,3524 ,27 ,,180.7,352.4,5.4
3702 ,2315 ,36 ,,370.2,231.5,7.2
2740 ,1924 ,9 ,,274,192.4,1.8
2805 ,940 ,27 ,,280.5,94,5.4
3785 ,3826 ,54 ,,378.5,382.6,10.8
3293 ,1074 ,45 ,,329.3,107.4,9
2406 ,2217 ,45 ,,240.6,221.7,9
1284 ,4531 ,18 ,,128.4,453.1,3.6
1111 ,2149 ,9 ,,111.1,214.9,1.8
2009 ,4233 ,36 ,,200.9,423.3,7.2
1048 ,2921 ,9 ,,104.8,292.1,1.8
4419 ,4140 ,18 ,,441.9,414,3.6
1010 ,1812 ,54 ,,101,181.2,10.8
4672 ,2076 ,27 ,,467.2,207.6,5.4
2356 ,2828 ,45 ,,235.6,282.8,9
1484 ,3339 ,9 ,,148.4,333.9,1.8
3747 ,509 ,18 ,,374.7,50.9,3.6
2201 ,1683 ,18 ,,220.1,168.3,3.6
3119 ,950 ,9 ,,311.9,95,1.8
1471 ,668 ,45 ,,147.1,66.8,9
4160 ,2519 ,36 ,,416,251.9,7.2
4643 ,1052 ,135 ,,464.3,105.2,27
2399 ,2356 ,27 ,,239.9,235.6,5.4
2141 ,2754 ,18 ,,214.1,275.4,3.6
3949 ,4353 ,45 ,,394.9,435.3,9
1456 ,1265 ,9 ,,145.6,126.5,1.8
4489 ,1696 ,9 ,,448.9,169.6,1.8
1172 ,4964 ,18 ,,117.2,496.4,3.6
3570 ,4439 ,36 ,,357,443.9,7.2
4646 ,3719 ,63 ,,464.6,371.9,12.6
4128 ,1657 ,45 ,,412.8,165.7,9
3224 ,3150 ,63 ,,322.4,315,12.6
1319 ,4774 ,18 ,,131.9,477.4,3.6
3589 ,3951 ,54 ,,358.9,395.1,10.8
3555 ,454 ,9 ,,355.5,45.4,1.8
2561 ,4822 ,18 ,,256.1,482.2,3.6
3413 ,4912 ,72 ,,341.3,491.2,14.4
1208 ,1216 ,45 ,,120.8,121.6,9
4289 ,3041 ,36 ,,428.9,304.1,7.2
4278 ,3518 ,54 ,,427.8,351.8,10.8
1829 ,4236 ,45 ,,182.9,423.6,9
1696 ,1097 ,81 ,,169.6,109.7,16.2
2949 ,4482 ,54 ,,294.9,448.2,10.8
3773 ,2680 ,36 ,,377.3,268,7.2
3299 ,4917 ,45 ,,329.9,491.7,9
1379 ,3056 ,27 ,,137.9,305.6,5.4
3843 ,3998 ,45 ,,384.3,399.8,9
3981 ,477 ,45 ,,398.1,47.7,9
4288 ,835 ,45 ,,428.8,83.5,9
2652 ,4840 ,27 ,,265.2,484,5.4
1802 ,4461 ,63 ,,180.2,446.1,12.6
2234 ,3730 ,54 ,,223.4,373,10.8
1979 ,3485 ,36 ,,197.9,348.5,7.2
2066 ,1998 ,54 ,,206.6,199.8,10.8
2123 ,3354 ,36 ,,212.3,335.4,7.2
4475 ,1598 ,9 ,,447.5,159.8,1.8
3301 ,1106 ,45 ,,330.1,110.6,9
1369 ,3111 ,27 ,,136.9,311.1,5.4
1332 ,2442 ,54 ,,133.2,244.2,10.8
3919 ,874 ,45 ,,391.9,87.4,9
2316 ,2380 ,9 ,,231.6,238,1.8
2501 ,1603 ,36 ,,250.1,160.3,7.2
4108 ,3168 ,45 ,,410.8,316.8,9
3799 ,563 ,45 ,,379.9,56.3,9
2266 ,2607 ,9 ,,226.6,260.7,1.8
3138 ,811 ,36 ,,313.8,81.1,7.2
1994 ,4875 ,54 ,,199.4,487.5,10.8
2577 ,2858 ,18 ,,257.7,285.8,3.6
2175 ,1958 ,36 ,,217.5,195.8,7.2
4654 ,2516 ,63 ,,465.4,251.6,12.6
